id,doi,title,authors,journal,abstract,keywords,publication_date,url,pdf_url,download_path,original_url,pdf_md5,created_at,updated_at
126,10.1038/s41467-024-55073-5,"P-block element modulated 1 T phase MoS2 with Ru lattice grafting for high-performance Li | |O2 batteries","Peng Wang, Danyang Zhao, Peng Zhang, Xiaobin Hui, Zhiwei Zhang, Rutao Wang, Chengxiang Wang, Xiaoli Ge, Xiaojing Liu, Yuguang C. Li, Longwei Yin","Nature Communications","The metallic phase MoS2 (1T-MoS2) supported metal-nanocatalyst is an appealing material system for accelerating the redox kinetics of non-aqueous Li | |O2 batteries. However, the drawbacks associated with the surface orbital steric effect and the internal electron coupling results in a detrimental effect for the stability of 1T-MoS2, especially for the interface charge transfer. This makes it difficult to incorporate guest metal nanoparticles without compromising the 1 T phase support. To circumvent these issues, here we propose a p-block element (In-O) doping strategy to stabilize the 1 T phase MoS2 by moderating the surface orbital steric effect and strengthening the internal chemical bonding, and thus for the epitaxial Ru nanocatalyst graft on the stabilized 1T-MoS2 for Li | |O2 batteries. The experimental and theoretical analyzes indicate that the In-O-MoS2@Ru enhances the O2 dissociation and facilitates the adsorption of LiO2 intermediates. This effect promotes the growth of weakly crystalline Li2O2 films during oxygen reduction reaction, which can be more easily decomposed during the oxygen evolution reaction, thereby enhancing the bifunctional-catalytic kinetics. When employed at the positive electrode for non-aqueous Li | |O2 batteries, In-O-MoS2@Ru shows an overpotential of 0.37 V and a cycling life of 284 cycles at 200 mA g−1 with a final discharge specific capacity of 1000 mAh g−1 at 25 °C.",Batteries,2025-02-07,https://nature.f.33tsg.xyz/articles/s41467-024-55073-5,https://nature.f.33tsg.xyz/articles/s41467-024-55073-5.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/P-block element modulated 1 T phase MoS2 with Ru lattice grafting for high-performance Li _ _O2 batteries.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
127,10.1038/s41598-022-14679-9,"Mechanistic insights into photochromic 3H-naphthopyran showing strong photocoloration","Błażej Gierczyk, Michał F. Rode, Gotard Burdzinski","Scientific Reports","3,3-Diphenylbenzo[f]chromene (1) represents an important architectural platform for photochromic systems. Since the practical utility of such chromophores is largely dependent upon the kinetics of coloration and decoloration, elucidating the mechanistic details of these processes is of great value. Toward this end, we studied the photochromic reaction of (3-(2-methoxyphenyl)-3-phenyl-3H-benzo[f]chromene (2) by both time-resolved UV–vis and mid-IR spectroscopies. We found that irradiation of 2 at 365 nm generates long-lived colored transoid-cis isomers with lifetimes of 17.1 s and 17.5 min (at 21 °C) and even longer-lived transoid-trans isomers with a lifetime of 16 h. These experimental results were supplemented with ab initio ground-state and excited-state calculations, and the resulting theoretical interpretation may be useful for the design of new photochromic systems with optimized photofunctionality.","Optical materials, Photochemistry, Physical chemistry",2022-06-24,https://nature.f.33tsg.xyz/articles/s41598-022-14679-9,https://nature.f.33tsg.xyz/articles/s41598-022-14679-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Mechanistic insights into photochromic 3H-naphthopyran showing strong photocoloration.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
128,10.1038/s41566-019-0415-5,"Highly efficient blue thermally activated delayed fluorescence emitters based on symmetrical and rigid oxygen-bridged boron acceptors","Dae Hyun Ahn, Si Woo Kim, Hyuna Lee, Ik Jang Ko, Durai Karthik, Ju Young Lee, Jang Hyuk Kwon","Nature Photonics","Materials that exhibit thermally activated delayed fluorescence are promising for the realization of efficient organic light-emitting diodes. However, finding suitable deep-blue thermally activated delayed fluorescence materials is still challenging. Here, we report two highly efficient deep-blue thermally activated delayed fluorescence emitters, TDBA–Ac and TDBA–DI, containing oxygen-bridged, symmetric and rigid boron acceptor moieties. Both emitters have been designed to have high photoluminescence quantum yield and narrow-band blue emission. TDBA–Ac and TDBA–DI exhibited deep-blue emission and a small singlet–triplet energy gap of 0.06 eV and 0.11 eV, respectively, in toluene. The 20wt%-doped films of TDBA–Ac and TDBA–DI in DBFPO host exhibited high photoluminescence quantum yields of 93% and 99%, respectively. The fabricated TDBA–DI device showed an extremely high external quantum efficiency of 38.15 ± 0.42% in the blue region with low roll-off characteristics of 25.2% at high luminance of up to 5,000 cd m–2. The TDBA–Ac-doped device exhibited a high external quantum efficiency of 21.50 ± 0.22% with deep-blue colour coordinates of (0.15, 0.06).","Materials chemistry, Materials for devices, Optical materials and structures",2019-04-08,https://nature.f.33tsg.xyz/articles/s41566-019-0415-5,https://nature.f.33tsg.xyz/articles/s41566-019-0415-5.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Highly efficient blue thermally activated delayed fluorescence emitters based on symmetrical and rigid oxygen-bridged boron acceptors.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
129,10.1038/s41467-024-53740-1,"Rigid and planar π-conjugated molecules leading to long-lived intramolecular charge-transfer states exhibiting thermally activated delayed fluorescence","Suman Kuila, Hector Miranda-Salinas, Julien Eng, Chunyong Li, Martin R. Bryce, Thomas J. Penfold, Andrew P. Monkman","Nature Communications","Intramolecular charge transfer (ICT) occurs when photoexcitation causes electron transfer from an electron donor to an electron acceptor within the same molecule and is usually stabilized by decoupling of the donor and acceptor through an orthogonal twist between them. Thermally activated delayed fluorescence (TADF) exploits such twisted ICT states to harvest triplet excitons in OLEDs. However, the highly twisted conformation of TADF molecules results in limited device lifetimes. Rigid molecules offer increased stability, yet their typical planarity and π-conjugated structures impedes ICT. Herein, we achieve dispersion-free triplet harvesting using fused indolocarbazole-phthalimide molecules that have remarkably stable co-planar ICT states, yielding blue/green-TADF with good photoluminescence quantum yield and small singlet-triplet energy gap < 50 meV. ICT formation is dictated by the bonding connectivity and excited-state conjugation breaking between the donor and acceptor fragments, that stabilises the planar ICT excited state, revealing a new criterion for designing efficient TADF materials.","Optical materials, Organic LEDs",2024-11-07,https://nature.f.33tsg.xyz/articles/s41467-024-53740-1,https://nature.f.33tsg.xyz/articles/s41467-024-53740-1.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Rigid and planar π-conjugated molecules leading to long-lived intramolecular charge-transfer states exhibiting thermally activated delayed fluorescence.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
130,10.1038/ncomms15355,"Tetrahelical structural family adopted by AGCGA-rich regulatory DNA regions","Vojč Kocman, Janez Plavec","Nature Communications","Here we describe AGCGA-quadruplexes, an unexpected addition to the well-known tetrahelical families, G-quadruplexes and i-motifs, that have been a focus of intense research due to their potential biological impact in G- and C-rich DNA regions, respectively. High-resolution structures determined by solution-state nuclear magnetic resonance (NMR) spectroscopy demonstrate that AGCGA-quadruplexes comprise four 5′-AGCGA-3′ tracts and are stabilized by G-A and G-C base pairs forming GAGA- and GCGC-quartets, respectively. Residues in the core of the structure are connected with edge-type loops. Sequences of alternating 5′-AGCGA-3′ and 5′-GGG-3′ repeats could be expected to form G-quadruplexes, but are shown herein to form AGCGA-quadruplexes instead. Unique structural features of AGCGA-quadruplexes together with lower sensitivity to cation and pH variation imply their potential biological relevance in regulatory regions of genes responsible for basic cellular processes that are related to neurological disorders, cancer and abnormalities in bone and cartilage development.","DNA, Solution-state NMR",2017-05-17,https://nature.f.33tsg.xyz/articles/ncomms15355,https://nature.f.33tsg.xyz/articles/ncomms15355.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Tetrahelical structural family adopted by AGCGA-rich regulatory DNA regions.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
131,10.1038/s41467-024-55445-x,"A stable and biocompatible shortwave infrared nanoribbon for dual-channel in vivo imaging","Cheng Yao, Ruwei Wei, Xiao Luo, Jie Zhou, Xiaodong Zhang, Xicun Lu, Yan Dong, Ruofan Chu, Yuxin Sun, Yu Wang, Wencheng Xia, Dahui Qu, Cong Liu, Jun Ren, Guangbo Ge, Jinquan Chen, Xuhong Qian, Youjun Yang","Nature Communications","The shortwave infrared (SWIR) region is an ideal spectral window for next-generation bioimaging to harness improved penetration and reduced phototoxicity. SWIR spectral activity may also be accessed via supramolecular dye aggregation. Unfortunately, development of dye aggregation remains challenging. We propose a crystal-aided aggregate synthesis (CAASH) approach to introduce a layer of rationality for the development of J-aggregate and the successful development of a water-soluble SWIR JV-aggregate with a bisbenzannulated silicon rhodamine scaffold (ESi5). The resulting SWIR-aggregates exhibit excellent stabilities toward organic solvents, pH, sonication, photobleaching, thiols, and endogenous oxidative species. Notably, the aggregates have a high structure-dependent melting temperature of ca. 330-335 K. In fact, the heating/annealing process can be exploited to reduce aggregation disorder. The aggregates are biocompatible and have broad potential in in vivo fluorescence and photoacoustic imaging and more.","Biomedical materials, Crystal engineering, Optical materials",2025-01-02,https://nature.f.33tsg.xyz/articles/s41467-024-55445-x,https://nature.f.33tsg.xyz/articles/s41467-024-55445-x.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/A stable and biocompatible shortwave infrared nanoribbon for dual-channel in vivo imaging.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
132,10.1038/s41467-024-51876-8,"Unveiling the solution structure of a DNA duplex with continuous silver-modified Watson-Crick base pairs","Uroš Javornik, Antonio Pérez-Romero, Carmen López-Chamorro, Rachelle M. Smith, José A. Dobado, Oscar Palacios, Mrinal K. Bera, May Nyman, Janez Plavec, Miguel A. Galindo","Nature Communications","The challenge of transforming organized DNA structures into their metallized counterparts persists in the scientific field. In this context, utilizing DNA molecules modified with 7-deazapurine, provides a transformative solution. In this study, we present the solution structure of a DNA duplex that can be transformed into its metallized equivalent while retaining the natural base pairing arrangement through the creation of silver-modified Watson-Crick base pairs. Unlike previously documented X-ray structures, our research demonstrates the feasibility of preserving the intrinsic DNA self-assembly while incorporating AgI into the double helix, illustrating that the binding of silver does not disrupt the canonical base-pairing organization. Moreover, in our case, the uninterrupted AgI chain deviates from forming conventional straight linear chains; instead, it adheres to a helical arrangement dictated by the underlying DNA structure. This research challenges conventional assumptions and opens the door to precisely design structures based on the organization of highly stable Ag-DNA assemblies.","DNA, SAXS, Solution-state NMR",2024-09-05,https://nature.f.33tsg.xyz/articles/s41467-024-51876-8,https://nature.f.33tsg.xyz/articles/s41467-024-51876-8.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Unveiling the solution structure of a DNA duplex with continuous silver-modified Watson-Crick base pairs.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
133,10.1038/s41467-021-26464-9,"Differential diffusion driven far-from-equilibrium shape-shifting of hydrogels","Yue Zhang, Kangkang Liu, Tao Liu, Chujun Ni, Di Chen, Jiamei Guo, Chang Liu, Jian Zhou, Zheng Jia, Qian Zhao, Pengju Pan, Tao Xie","Nature Communications","Far-from-equilibrium (FFE) conditions give rise to many unusual phenomena in nature. In contrast, synthetic shape-shifting materials typically rely on monotonic evolution between equilibrium states, limiting inherently the richness of the shape-shifting behaviors. Here we report an unanticipated shape-shifting behavior for a hydrogel that can be programmed to operate FFE-like behavior. During its temperature triggered shape-shifting event, the programmed stress induces uneven water diffusion, which pushes the hydrogel off the equilibrium based natural pathway. The resulting geometric change enhances the diffusion contrast in return, creating a self-amplifying sequence that drives the system into an FFE condition. Consequently, the hydrogel exhibits counterintuitive two opposite shape-shifting events under one single stimulation, at a speed accelerated by more than one order magnitude. Our discovery points to a future direction in creating FFE conditions to access otherwise unattainable shape-shifting behaviors, with potential implications for many engineering applications including soft robotics and medical devices.","Materials chemistry, Soft materials",2021-10-25,https://nature.f.33tsg.xyz/articles/s41467-021-26464-9,https://nature.f.33tsg.xyz/articles/s41467-021-26464-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Differential diffusion driven far-from-equilibrium shape-shifting of hydrogels.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
134,10.1038/s41557-023-01350-7,"An open-shell molecule that exhibits conformational dynamics","Yoshito Tobe","Nature Chemistry","Nature Chemistry
 15, 
1490–1492 (2023)Cite this article","Computational chemistry, Spectrophotometry, Stereochemistry, Structure elucidation",2023-10-31,https://nature.f.33tsg.xyz/articles/s41557-023-01350-7,https://nature.f.33tsg.xyz/articles/s41557-023-01350-7.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/An open-shell molecule that exhibits conformational dynamics.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
135,10.1038/s41557-020-00618-6,"Dipolar order in an amphidynamic crystalline metal–organic framework through reorienting linkers","Y.-S. Su, E. S. Lamb, I. Liepuoniute, A. Chronister, A. L. Stanton, P. Guzman, S. Pérez-Estrada, T. Y. Chang, K. N. Houk, M. A. Garcia-Garibay, S. E. Brown","Nature Chemistry","Amphidynamic crystals, which possess crystallinity and support dynamic behaviours, are very well suited to the exploration of emergent phenomena that result from the coupling on the dynamic moieties. Here, dipolar rotors have been embedded in a crystalline metal–organic framework. The material consists of Zn(II) nodes and two types of ditopic bicyclo[2.2.2]octane-based linkers—one that coordinates to the Zn clusters through two 1,4-aza moieties, and a difluoro-functionalized derivative (the dipolar rotor) that coordinates through linked 1,4-dicarboxylate groups instead. Upon cooling, these linkers collectively order as a result of correlated dipole–dipole interactions. Variable-temperature, frequency-dependent dielectric measurements revealed a transition temperature Tc = 100 K, when a rapidly rotating, dipole-disordered, paraelectric phase transformed into an ordered, antiferroelectric one in which the dipole moments of the rotating linkers largely cancelled each other. Monte Carlo simulations on a two-dimensional rotary lattice showed a ground state with an Ising symmetry and the effects of dipole–lattice and dipole–dipole interactions.","Metal–organic frameworks, Molecular machines and motors",2021-02-15,https://nature.f.33tsg.xyz/articles/s41557-020-00618-6,https://nature.f.33tsg.xyz/articles/s41557-020-00618-6.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Dipolar order in an amphidynamic crystalline metal–organic framework through reorienting linkers.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
136,10.1038/s41467-020-19172-3,"Synergistic photoredox and copper catalysis by diode-like coordination polymer with twisted and polar copper–dye conjugation","Yusheng Shi, Tiexin Zhang, Xiao-Ming Jiang, Gang Xu, Cheng He, Chunying Duan","Nature Communications","Synergistic photoredox and copper catalysis confers new synthetic possibilities in the pharmaceutical field, but is seriously affected by the consumptive fluorescence quenching of Cu(II). By decorating bulky auxiliaries into a photoreductive triphenylamine-based ligand to twist the conjugation between the triphenylamine-based ligand and the polar Cu(II)–carboxylate node in the coordination polymer, we report a heterogeneous approach to directly confront this inherent problem. The twisted and polar Cu(II)–dye conjunction endows the coordination polymer with diode-like photoelectronic behaviours, which hampers the inter- and intramolecular photoinduced electron transfer from the triphenylamine-moiety to the Cu(II) site and permits reversed-directional ground-state electronic conductivity, rectifying the productive loop circuit for synergising photoredox and copper catalysis in pharmaceutically valuable decarboxylative C(sp3)–heteroatom couplings. The well-retained Cu(II) sites during photoirradiation exhibit unique inner-spheric modulation effects, which endow the couplings with adaptability to different types of nucleophiles and radical precursors under concise reaction conditions, and distinguish the multi-olefinic moieties of biointeresting steride derivatives in their late-stage trifluoromethylation-chloration difunctionalisation.","Coordination chemistry, Heterogeneous catalysis, Photocatalysis",2020-10-23,https://nature.f.33tsg.xyz/articles/s41467-020-19172-3,https://nature.f.33tsg.xyz/articles/s41467-020-19172-3.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Synergistic photoredox and copper catalysis by diode-like coordination polymer with twisted and polar copper–dye conjugation.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
137,10.1038/s41563-025-02207-9,"Intermolecular-force-driven anisotropy breaks the thermoelectric trade-off in n-type conjugated polymers","Diego Rosas Villalva, Dennis Derewjanko, Yongcao Zhang, Ye Liu, Andrew Bates, Anirudh Sharma, Jianhua Han, Martí Gibert-Roca, Osnat Zapata Arteaga, Soyeong Jang, Stefania Moro, Giovanni Costantini, Xiaodan Gu, Martijn Kemerink, Derya Baran","Nature Materials","Controlling the molecular orientation of conjugated polymers is a vital yet complex process to modulate their optoelectronic properties along with boosting device performance. Here we propose a molecular-force-driven anisotropy strategy to modulate the molecular orientation of conjugated polymers. This strategy relies on the intermolecular interactions, gauged by the Hansen solubility parameters framework, to provide solvent selection criteria for conjugated polymers that render films with a preferential orientation. We showcase molecular-force-driven anisotropy to overcome the inverse coupling between the electrical conductivity and Seebeck coefficient in solution-processed organic thermoelectrics, a major challenge in the field. Our kinetic Monte Carlo simulations suggest that edge-on orientations break the trade-off by increasing the in-plane delocalization length. The molecular-force-driven anisotropy approach yields a power factor of 115 μW m−1 K−2 and a figure of merit of 0.17 at room temperature for the doped n-type 2DPP-2CNTVT:N-DMBI system. This power factor is 20 times larger than that of conventional doping approaches.","Electronic materials, Thermoelectrics",2025-04-28,https://nature.f.33tsg.xyz/articles/s41563-025-02207-9,https://nature.f.33tsg.xyz/articles/s41563-025-02207-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Intermolecular-force-driven anisotropy breaks the thermoelectric trade-off in n-type conjugated polymers.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
138,10.1038/s41467-022-30999-w,"Excited state non-adiabatic dynamics of large photoswitchable molecules using a chemically transferable machine learning potential","Simon Axelrod, Eugene Shakhnovich, Rafael Gómez-Bombarelli","Nature Communications","Light-induced chemical processes are ubiquitous in nature and have widespread technological applications. For example, photoisomerization can allow a drug with a photo-switchable scaffold such as azobenzene to be activated with light. In principle, photoswitches with desired photophysical properties like high isomerization quantum yields can be identified through virtual screening with reactive simulations. In practice, these simulations are rarely used for screening, since they require hundreds of trajectories and expensive quantum chemical methods to account for non-adiabatic excited state effects. Here we introduce a diabatic artificial neural network (DANN), based on diabatic states, to accelerate such simulations for azobenzene derivatives. The network is six orders of magnitude faster than the quantum chemistry method used for training. DANN is transferable to azobenzene molecules outside the training set, predicting quantum yields for unseen species that are correlated with experiment. We use the model to virtually screen 3100 hypothetical molecules, and identify novel species with high predicted quantum yields. The model predictions are confirmed using high-accuracy non-adiabatic dynamics. Our results pave the way for fast and accurate virtual screening of photoactive compounds.","Chemical physics, Computational chemistry, Excited states, Molecular dynamics",2022-06-15,https://nature.f.33tsg.xyz/articles/s41467-022-30999-w,https://nature.f.33tsg.xyz/articles/s41467-022-30999-w.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Excited state non-adiabatic dynamics of large photoswitchable molecules using a chemically transferable machine learning potential.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
139,10.1038/ncomms1654,"Geometry analysis and systematic synthesis of highly porous isoreticular frameworks with a unique topology","Yue-Biao Zhang, Hao-Long Zhou, Rui-Biao Lin, Chi Zhang, Jian-Bin Lin, Jie-Peng Zhang, Xiao-Ming Chen","Nature Communications","Porous coordination polymers are well known for their easily tailored framework structures and corresponding properties. Although systematic modulations of pore sizes of binary prototypes have gained great success, simultaneous adjustment of both pore size and shape of ternary prototypes remains unexplored, owing to the difficulty in controlling the self-assembly of multiple molecular building blocks. Here we show that simple geometry analysis can be used to estimate the influence of the linker lengths and length ratios on the synthesis/construction difficulties and framework stabilities of a highly symmetric, ternary prototype composed of a typical trinuclear metal cluster and two types of bridging carboxylate ligands. As predicted, systematic syntheses with 5×5 ligand combinations produced 13 highly porous isoreticular frameworks, which show not only systematic adjustment of pore volumes (0.49–2.04 cm3 g−1) and sizes (7.8–13.0 Å; 5.2–12.0 Å; 7.4–17.4 Å), but also anisotropic modulation of the pore shapes.","Coordination chemistry, Coordination polymers, Metal–organic frameworks, Chemical synthesis",2012-01-24,https://nature.f.33tsg.xyz/articles/ncomms1654,https://nature.f.33tsg.xyz/articles/ncomms1654.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Geometry analysis and systematic synthesis of highly porous isoreticular frameworks with a unique topology.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
140,10.1038/s41467-022-33695-x,"Towards the engineering of a photon-only two-stroke rotary molecular motor","Michael Filatov(Gulak), Marco Paolino, Robin Pierron, Andrea Cappelli, Gianluca Giorgi, Jérémie Léonard, Miquel Huix-Rotllant, Nicolas Ferré, Xuchun Yang, Danil Kaliakin, Alejandro Blanco-González, Massimo Olivucci","Nature Communications","The rational engineering of photoresponsive materials, e.g., light-driven molecular motors, is a challenging task. Here, we use structure-related design rules to prepare a prototype molecular rotary motor capable of completing an entire revolution using, exclusively, the sequential absorption of two photons; i.e., a photon-only two-stroke motor. The mechanism of rotation is then characterised using a combination of non-adiabatic dynamics simulations and transient absorption spectroscopy measurements. The results show that the rotor moiety rotates axially relative to the stator and produces, within a few picoseconds at ambient T, an intermediate with the same helicity as the starting structure. We discuss how such properties, that include a 0.25 quantum efficiency, can help overcome the operational limitations of the classical overcrowded alkene designs.","Atomistic models, Energy transfer, Excited states, Light harvesting",2022-10-28,https://nature.f.33tsg.xyz/articles/s41467-022-33695-x,https://nature.f.33tsg.xyz/articles/s41467-022-33695-x.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Towards the engineering of a photon-only two-stroke rotary molecular motor.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
141,10.1038/s41598-022-14974-5,"Multiparameter laser performance characterization of liquid crystals for polarization control devices in the nanosecond regime","Kenneth L. Marshall, Kyle R. P. Kafka, Nathaniel D. Urban, Jason U. Wallace, Stavros G. Demos","Scientific Reports","Interactions of liquid crystals (LC’s) with polarized light have been studied widely and have spawned numerous device applications, including the fabrication of optical elements for high-power and large-aperture laser systems. Currently, little is known about both the effect of incident polarization state on laser-induced–damage threshold (LIDT) and laser-induced functional threshold (LIFT) behavior at sub-LIDT fluences under multipulse irradiation conditions. This work reports on the first study of the nanosecond-pulsed LIDT’s dependence on incident polarization for several optical devices employing oriented nematic and chiral-nematic LC’s oriented by surface alignment layers. Accelerated lifetime testing was also performed to characterize the ability of these devices to maintain their functional performance under multipulse irradiation as a function of the laser fluence at both 1053 nm and 351 nm. Results show that the LIDT varies as a function of input polarization by 30–80% within the same device, while the multipulse LIFT (which can differ from the nominal LIDT) depends on irradiation conditions such as laser fluence and wavelength.","Materials chemistry, Materials for optics, Optical materials and structures, Organic chemistry, Photochemistry",2022-06-29,https://nature.f.33tsg.xyz/articles/s41598-022-14974-5,https://nature.f.33tsg.xyz/articles/s41598-022-14974-5.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Multiparameter laser performance characterization of liquid crystals for polarization control devices in the nanosecond regime.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
142,10.1038/s41467-019-10251-8,"Iminothioindoxyl as a molecular photoswitch with 100 nm band separation in the visible range","Mark W. H. Hoorens, Miroslav Medved’, Adèle D. Laurent, Mariangela Di Donato, Samuele Fanetti, Laura Slappendel, Michiel Hilbers, Ben L Feringa, Wybren Jan Buma, Wiktor Szymanski","Nature Communications","Light is an exceptional external stimulus for establishing precise control over the properties and functions of chemical and biological systems, which is enabled through the use of molecular photoswitches. Ideal photoswitches are operated with visible light only, show large separation of absorption bands and are functional in various solvents including water, posing an unmet challenge. Here we show a class of fully-visible-light-operated molecular photoswitches, Iminothioindoxyls (ITIs) that meet these requirements. ITIs show a band separation of over 100 nm, isomerize on picosecond time scale and thermally relax on millisecond time scale. Using a combination of advanced spectroscopic and computational techniques, we provide the rationale for the switching behavior of ITIs and the influence of structural modifications and environment, including aqueous solution, on their photochemical properties. This research paves the way for the development of improved photo-controlled systems for a wide variety of applications that require fast responsive functions.","Chemical physics, Light harvesting, Synthetic chemistry methodology",2019-06-03,https://nature.f.33tsg.xyz/articles/s41467-019-10251-8,https://nature.f.33tsg.xyz/articles/s41467-019-10251-8.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Iminothioindoxyl as a molecular photoswitch with 100 nm band separation in the visible range.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
143,10.1038/s41929-018-0110-9,"Bracing copper for the catalytic oxidation of C–H bonds","Luisa Ciano, Gideon J. Davies, William B. Tolman, Paul H. Walton","Nature Catalysis","A structural unit found in the active site of some copper proteins, the histidine brace, is comprised of an N-terminal histidine that chelates a single copper ion through its amino terminus NH2 and the π–N of its imidazole side chain. Coordination is completed by the τ-N of a further histidine side chain, to give an overall N3 T-shaped coordination at the copper ion. The histidine brace appears in several proteins, including lytic polysaccharide monooxygenases LPMOs and particulate methane monooxygenases pMMOs, both of which catalyse the oxidation of substrates with strong C–H bonds (bond dissociation enthalpies ~100 kcal mol–1). As such, the copper histidine brace is the focus of research aimed at understanding how nature catalyses the oxidation of unactivated C–H bonds. In this Perspective, we evaluate these studies, which further give bioinspired direction to coordination chemists in the design and preparation of small molecule copper oxidation catalysts.","Biocatalysis, Homogeneous catalysis, Ligands, Metalloproteins, Oxidoreductases",2018-08-10,https://nature.f.33tsg.xyz/articles/s41929-018-0110-9,https://nature.f.33tsg.xyz/articles/s41929-018-0110-9.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Bracing copper for the catalytic oxidation of C–H bonds.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
144,10.1038/s41467-019-10540-2,"Microstructure arrays of DNA using topographic control","Yun Jeong Cha, Soon Mo Park, Ra You, Hyoungsoo Kim, Dong Ki Yoon","Nature Communications","DNA is a common biomaterial in nature as well as a good building block for producing useful structures, due to its fine feature size and liquid crystalline phase. Here, we demonstrate that a combination of shear-induced flow and microposts can be used to create various kinds of interesting microstructure DNA arrays. Our facile method provides a platform for forming multi-scale hierarchical orientations of soft- and biomaterials, using a process of simple shearing and controlled evaporation on a patterned substrate. This approach enables potential patterning applications using DNA or other anisotropic biomaterials based on their unique structural characteristics.","DNA and RNA, Supramolecular polymers",2019-06-07,https://nature.f.33tsg.xyz/articles/s41467-019-10540-2,https://nature.f.33tsg.xyz/articles/s41467-019-10540-2.pdf,"C:\Users\shiji\Desktop\coding\sci_crawler\t_a_download/Microstructure arrays of DNA using topographic control.pdf",NULL,NULL,"2025-07-11 20:07:41","2025-07-11 20:07:41"
